// Total Frames: 2656 
// Name  Frame  Time  x  y  z
// ===========================
RightHand 607 5.058333 -0.819847 1.187522 0.083245
RightHand 608 5.066667 -0.836775 1.185266 0.088708
RightHand 609 5.075 -0.853079 1.183023 0.095024
RightHand 610 5.083333 -0.871644 1.180711 0.099981
RightHand 611 5.091667 -0.88948 1.177069 0.106933
RightHand 612 5.1 -0.908944 1.175593 0.11244
RightHand 613 5.108333 -0.927985 1.1717 0.117823
RightHand 614 5.116667 -0.947442 1.168155 0.123555
RightHand 615 5.125 -0.967365 1.16381 0.128439
RightHand 616 5.133333 -0.987881 1.158945 0.133002
RightHand 617 5.141667 -1.007615 1.153779 0.137751
RightHand 618 5.15 -1.028852 1.148472 0.14116
RightHand 619 5.158333 -1.048674 1.143157 0.145104
RightHand 620 5.166667 -1.068083 1.139033 0.149193
RightHand 621 5.175 -1.088369 1.134036 0.151365
RightHand 622 5.183333 -1.106036 1.129399 0.154968
RightHand 623 5.191667 -1.123861 1.124345 0.156966
RightHand 624 5.2 -1.140435 1.119356 0.158018
RightHand 625 5.208333 -1.155583 1.1127 0.158555
RightHand 626 5.216667 -1.169488 1.107309 0.159244
RightHand 627 5.225 -1.181124 1.101005 0.15968
RightHand 628 5.233333 -1.192901 1.093988 0.159068
RightHand 629 5.241667 -1.200462 1.088458 0.160292
RightHand 630 5.25 -1.207212 1.083985 0.163529
RightHand 631 5.258333 -1.212255 1.08004 0.16674
RightHand 632 5.266667 -1.217212 1.077944 0.171469
RightHand 633 5.275 -1.219603 1.075838 0.176345
RightHand 634 5.283333 -1.222574 1.074177 0.181537
RightHand 635 5.291667 -1.227754 1.071975 0.187153
RightHand 636 5.3 -1.228537 1.072545 0.191189
RightHand 637 5.308333 -1.230733 1.072258 0.195771
RightHand 638 5.316667 -1.233745 1.070539 0.19806
RightHand 639 5.325 -1.234701 1.070621 0.201088
RightHand 640 5.333333 -1.235191 1.069052 0.20333
RightHand 641 5.341667 -1.235888 1.068196 0.205585
RightHand 642 5.35 -1.236482 1.067367 0.207447
RightHand 643 5.358333 -1.236334 1.065908 0.207734
RightHand 644 5.366667 -1.236757 1.065271 0.209145
RightHand 645 5.375 -1.237383 1.064757 0.208706
RightHand 646 5.383333 -1.236407 1.062974 0.208113
RightHand 647 5.391667 -1.235685 1.062146 0.207307
RightHand 648 5.4 -1.235407 1.060097 0.206394
RightHand 649 5.408333 -1.233215 1.058956 0.205672
RightHand 650 5.416667 -1.23204 1.05738 0.202697
RightHand 651 5.425 -1.23021 1.055031 0.201509
RightHand 652 5.433333 -1.227208 1.053084 0.200538
RightHand 653 5.441667 -1.224688 1.050292 0.199469
RightHand 654 5.45 -1.221593 1.048578 0.197947
RightHand 655 5.458333 -1.219025 1.04603 0.195837
RightHand 656 5.466667 -1.216079 1.043703 0.194545
RightHand 657 5.475 -1.212298 1.040278 0.193484
RightHand 658 5.483333 -1.207996 1.036782 0.193661
RightHand 659 5.491667 -1.204983 1.034657 0.19244
RightHand 660 5.5 -1.199712 1.031079 0.194435
RightHand 661 5.508333 -1.195737 1.027889 0.193338
RightHand 662 5.516667 -1.191741 1.024185 0.195002
RightHand 663 5.525 -1.186435 1.020867 0.197359
RightHand 664 5.533333 -1.183464 1.01706 0.199305
RightHand 665 5.541667 -1.17681 1.015024 0.203877
RightHand 666 5.55 -1.171925 1.012963 0.208356
RightHand 668 5.566667 -1.161796 1.004255 0.216507
RightHand 669 5.575 -1.157811 1.001535 0.223017
RightHand 670 5.583333 -1.152479 0.997764 0.229596
RightHand 671 5.591667 -1.14905 0.994285 0.236302
RightHand 672 5.6 -1.143844 0.991191 0.245122
RightHand 673 5.608333 -1.140949 0.987754 0.252261
RightHand 674 5.616667 -1.137451 0.983804 0.260314
RightHand 675 5.625 -1.134652 0.981429 0.269099
RightHand 676 5.633333 -1.131187 0.977606 0.27779
RightHand 677 5.641667 -1.128734 0.975168 0.288659
RightHand 678 5.65 -1.126621 0.970781 0.297118
RightHand 679 5.658333 -1.125144 0.966306 0.306341
RightHand 680 5.666667 -1.123696 0.959998 0.316555
RightHand 682 5.683333 -1.122698 0.947277 0.335888
RightHand 683 5.691667 -1.123133 0.940306 0.345934
RightHand 685 5.708333 -1.125925 0.925438 0.364272
RightHand 686 5.716667 -1.127285 0.918664 0.373048
RightHand 689 5.741667 -1.13335 0.898169 0.395685
RightHand 690 5.75 -1.135709 0.891335 0.402186
RightHand 698 5.816667 -1.161936 0.831089 0.455115
RightHand 699 5.825 -1.16611 0.82307 0.460403
RightHand 700 5.833333 -1.170915 0.816192 0.466262
RightHand 701 5.841667 -1.176233 0.809327 0.4714
RightHand 702 5.85 -1.181887 0.80302 0.476772
RightHand 703 5.858333 -1.187497 0.797182 0.481444
RightHand 704 5.866667 -1.192687 0.790298 0.485195
RightHand 705 5.875 -1.198716 0.783893 0.489151
RightHand 706 5.883333 -1.205669 0.77906 0.493601
RightHand 707 5.891667 -1.212944 0.77402 0.497816
RightHand 708 5.9 -1.220392 0.769983 0.501828
RightHand 710 5.916667 -1.233729 0.764611 0.50902
RightHand 712 5.933333 -1.246662 0.757472 0.513616
RightHand 713 5.941667 -1.252102 0.755271 0.514529
RightHand 714 5.95 -1.256912 0.755579 0.515275
RightHand 715 5.958333 -1.260723 0.754968 0.515374
RightHand 716 5.966667 -1.264253 0.755001 0.516212
RightHand 717 5.975 -1.266495 0.753742 0.516245
RightHand 718 5.983333 -1.268355 0.754237 0.517033
RightHand 719 5.991667 -1.269186 0.75488 0.517421
RightHand 720 6.0 -1.269321 0.755729 0.518017
RightHand 721 6.008333 -1.268377 0.755772 0.517796
RightHand 722 6.016667 -1.265666 0.755917 0.518408
RightHand 723 6.025 -1.261281 0.753334 0.517033
RightHand 724 6.033333 -1.255958 0.752751 0.5166
RightHand 725 6.041667 -1.248148 0.752629 0.516446
RightHand 726 6.05 -1.24061 0.751118 0.515706
RightHand 728 6.066667 -1.221028 0.747375 0.513892
RightHand 729 6.075 -1.208985 0.74478 0.512321
RightHand 730 6.083333 -1.19627 0.744428 0.511478
RightHand 731 6.091667 -1.181284 0.739351 0.508671
RightHand 732 6.1 -1.164779 0.736025 0.506109
RightHand 733 6.108333 -1.146722 0.731764 0.503302
RightHand 734 6.116667 -1.127256 0.72903 0.500489
RightHand 735 6.125 -1.106575 0.724837 0.497141
RightHand 736 6.133333 -1.084318 0.721506 0.493056
RightHand 737 6.141667 -1.060881 0.717505 0.488773
RightHand 739 6.158333 -1.011059 0.712116 0.478682
RightHand 750 6.25 -0.644076 0.707293 0.394
RightHand 751 6.258333 -0.604125 0.716724 0.38261
RightHand 752 6.266667 -0.56422 0.725501 0.372569
RightHand 753 6.275 -0.523982 0.736258 0.362565
RightHand 754 6.283333 -0.484321 0.748682 0.353448
RightHand 755 6.291667 -0.443625 0.761573 0.343162
RightHand 756 6.3 -0.403465 0.778137 0.332607
RightHand 757 6.308333 -0.363073 0.797789 0.321436
RightHand 758 6.316667 -0.324007 0.820366 0.310077
RightHand 759 6.325 -0.286885 0.846282 0.299865
RightHand 760 6.333333 -0.249992 0.874963 0.289503
RightHand 761 6.341667 -0.21542 0.905479 0.27935
RightHand 762 6.35 -0.182736 0.938894 0.270255
RightHand 763 6.358333 -0.152479 0.97471 0.261782
RightHand 764 6.366667 -0.125155 1.012591 0.254243
RightHand 765 6.375 -0.100638 1.052693 0.247402
