Frame,Time,Varsha_Hip,Varsha_Hip,Varsha_Hip,Varsha_Ab,Varsha_Ab,Varsha_Ab,Varsha_Chest,Varsha_Chest,Varsha_Chest,Varsha_Neck,Varsha_Neck,Varsha_Neck,Varsha_Head,Varsha_Head,Varsha_Head,Varsha_LShoulder,Varsha_LShoulder,Varsha_LShoulder,Varsha_LUArm,Varsha_LUArm,Varsha_LUArm,Varsha_LFArm,Varsha_LFArm,Varsha_LFArm,Varsha_LHand,Varsha_LHand,Varsha_LHand,Varsha_RShoulder,Varsha_RShoulder,Varsha_RShoulder,Varsha_RUArm,Varsha_RUArm,Varsha_RUArm,Varsha_RFArm,Varsha_RFArm,Varsha_RFArm,Varsha_RHand,Varsha_RHand,Varsha_RHand,Varsha_LThigh,Varsha_LThigh,Varsha_LThigh,Varsha_LShin,Varsha_LShin,Varsha_LShin,Varsha_LFoot,Varsha_LFoot,Varsha_LFoot,Varsha_RThigh,Varsha_RThigh,Varsha_RThigh,Varsha_RShin,Varsha_RShin,Varsha_RShin,Varsha_RFoot,Varsha_RFoot,Varsha_RFoot
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1709,14.866667,0.508838,0.839734,-0.494056,0.505352,0.913487,-0.503168,0.467725,1.11435,-0.54044,0.368392,1.308732,-0.587449,0.336842,1.439802,-0.621682,0.405129,1.301574,-0.55367,0.438081,1.361907,-0.437913,0.505142,1.092111,-0.306607,0.497534,0.952382,-0.200539,0.389174,1.27734,-0.620163,0.328439,1.222436,-0.727039,0.238597,0.928636,-0.71531,0.16357,0.77343,-0.758391,0.527131,0.851481,-0.405974,0.539937,0.503463,-0.35,0.601555,0.082917,-0.312771,0.490544,0.827988,-0.582138,0.385399,0.496,-0.638194,0.398824,0.072769,-0.690516
1710,14.9,0.503385,0.844686,-0.504432,0.497937,0.918234,-0.514204,0.45122,1.114419,-0.554986,0.352158,1.308558,-0.603544,0.321756,1.439172,-0.639407,0.388975,1.301641,-0.569801,0.423641,1.362572,-0.454861,0.499333,1.096677,-0.320331,0.505468,0.956877,-0.211273,0.372783,1.276816,-0.636019,0.308868,1.223477,-0.741827,0.198855,0.936379,-0.741678,0.118015,0.78657,-0.792323,0.521633,0.857717,-0.416522,0.544444,0.511226,-0.354575,0.600979,0.091069,-0.306474,0.485136,0.831654,-0.592343,0.386099,0.497276,-0.645223,0.399354,0.073326,-0.691405
1711,14.933333,0.497985,0.849337,-0.514407,0.490466,0.922616,-0.524818,0.43479,1.114028,-0.568735,0.337991,1.309245,-0.617536,0.309659,1.44013,-0.65358,0.37498,1.302002,-0.584051,0.411944,1.36265,-0.469679,0.49567,1.100758,-0.33209,0.513542,0.962258,-0.220712,0.35792,1.277055,-0.650005,0.291261,1.22679,-0.755625,0.1583,0.949866,-0.768356,0.069646,0.80696,-0.828661,0.515643,0.863628,-0.426572,0.549306,0.5192,-0.358381,0.600236,0.099828,-0.298588,0.480327,0.835047,-0.602243,0.388543,0.49799,-0.651047,0.400138,0.073419,-0.691634
1712,14.966667,0.492782,0.853393,-0.523412,0.483269,0.926323,-0.534606,0.41958,1.113178,-0.581468,0.326229,1.310258,-0.629491,0.301363,1.44188,-0.666197,0.363469,1.302316,-0.596446,0.402868,1.362003,-0.482382,0.494012,1.104075,-0.342048,0.522096,0.967413,-0.229334,0.345092,1.277605,-0.662134,0.276071,1.231708,-0.768224,0.120072,0.968337,-0.796992,0.022247,0.834142,-0.866165,0.509675,0.869066,-0.435661,0.552521,0.526929,-0.361364,0.601053,0.109145,-0.289647,0.47589,0.83772,-0.611162,0.391166,0.498336,-0.656484,0.400858,0.073246,-0.691788
1713,15,0.48769,0.8568,-0.531414,0.476618,0.929409,-0.543238,0.405938,1.112261,-0.593246,0.317039,1.311766,-0.639682,0.296299,1.44415,-0.676734,0.354372,1.30278,-0.60701,0.396479,1.360987,-0.493148,0.494237,1.106584,-0.350844,0.530493,0.972014,-0.236693,0.334794,1.278786,-0.672617,0.263284,1.237997,-0.779144,0.08451,0.992311,-0.826113,-0.023673,0.869971,-0.904402,0.50424,0.87359,-0.443805,0.550475,0.533623,-0.36196,0.603786,0.118016,-0.28152,0.47114,0.840009,-0.619022,0.39338,0.498636,-0.66182,0.401732,0.073117,-0.691918
1714,15.033333,0.48208,0.859626,-0.538295,0.469897,0.931944,-0.550795,0.393592,1.111444,-0.604159,0.310342,1.313945,-0.648021,0.294425,1.447244,-0.684814,0.347744,1.303557,-0.615849,0.392399,1.359678,-0.501911,0.495915,1.108741,-0.357542,0.538883,0.976179,-0.242875,0.326706,1.280707,-0.681412,0.253028,1.246021,-0.788622,0.053524,1.021443,-0.854128,-0.064455,0.91263,-0.940355,0.498664,0.877523,-0.450912,0.544904,0.539304,-0.362123,0.61057,0.126834,-0.274956,0.465496,0.841729,-0.625678,0.395225,0.498489,-0.666454,0.402588,0.072655,-0.692005
1715,15.066667,0.475328,0.861529,-0.544404,0.462461,0.933647,-0.557367,0.38257,1.111107,-0.61391,0.305976,1.316872,-0.654596,0.295632,1.450989,-0.690814,0.343277,1.304811,-0.622893,0.39076,1.358378,-0.508869,0.498432,1.109775,-0.363503,0.547267,0.979733,-0.248434,0.320892,1.2835,-0.688529,0.245657,1.255412,-0.796585,0.027298,1.055647,-0.8799,-0.099306,0.961055,-0.973046,0.49181,0.880153,-0.457154,0.541019,0.543843,-0.362877,0.620094,0.135232,-0.268932,0.458846,0.842905,-0.631654,0.396904,0.497915,-0.671134,0.403232,0.071814,-0.692106
1716,15.1,0.468148,0.862759,-0.549574,0.454589,0.934696,-0.562831,0.372449,1.111533,-0.621224,0.30376,1.320539,-0.65943,0.299394,1.455399,-0.694601,0.340722,1.306706,-0.628056,0.390877,1.357243,-0.513792,0.502125,1.110708,-0.3676,0.554971,0.982289,-0.253318,0.317184,1.286957,-0.693776,0.24109,1.265864,-0.802818,0.007171,1.092153,-0.900973,-0.124926,1.014802,-1.001874,0.484106,0.881845,-0.462326,0.539089,0.547544,-0.364176,0.630387,0.142954,-0.264107,0.452191,0.843673,-0.636822,0.397944,0.497298,-0.6755,0.403685,0.070992,-0.691975
1717,15.133333,0.460809,0.863178,-0.554105,0.446675,0.934978,-0.567504,0.36339,1.11225,-0.627165,0.30366,1.32443,-0.66285,0.305803,1.459683,-0.696383,0.339944,1.308659,-0.631598,0.392481,1.355714,-0.51692,0.506369,1.110517,-0.37051,0.562711,0.983341,-0.257489,0.315723,1.290741,-0.697595,0.239268,1.276321,-0.807469,-0.007335,1.129699,-0.917996,-0.14798,1.069529,-1.024841,0.47604,0.882474,-0.466773,0.536964,0.550053,-0.365787,0.64165,0.150121,-0.260255,0.445579,0.843882,-0.641436,0.398025,0.496369,-0.678684,0.404047,0.069951,-0.691838
1718,15.166667,0.453733,0.862994,-0.558408,0.439237,0.934751,-0.571653,0.355332,1.113034,-0.63114,0.305287,1.32808,-0.664485,0.314178,1.463452,-0.695712,0.340775,1.310338,-0.633377,0.394939,1.353547,-0.517943,0.510753,1.108996,-0.371964,0.570012,0.982532,-0.260774,0.315871,1.294274,-0.699595,0.239753,1.286263,-0.810354,-0.016441,1.167778,-0.932231,-0.15871,1.125459,-1.044263,0.468436,0.882107,-0.470946,0.535408,0.551599,-0.367538,0.650917,0.155389,-0.259294,0.43903,0.843881,-0.64587,0.396501,0.495589,-0.681903,0.404339,0.069118,-0.692021
